Date, LiquidTemp, TempOut, TempIn
1393850410766,68.11,68.36
1393850415762,68.11,68.36
1393850420775,68.11,68.36
1393850425765,68.11,68.36
1393850430778,68.11,68.36
1393850435765,68.11,68.36
1393850440775,68.11,68.36
1393850445763,68.11,68.36
1393850450766,68.11,68.36
1393850455763,68.11,68.36
1393850460766,68.11,68.36
1393850465772,68.11,68.36
1393850470776,68.11,68.36
1393850475783,68.11,68.36
1393850480794,68.22,68.36
1393850485776,68.11,68.36
1393850490773,68.11,68.36
1393850495775,68.11,68.36
1393850500772,68.11,68.36
1393850505786,68.11,68.36
1393850510807,68.11,68.36
1393850515777,68.22,68.36
1393850520794,68.11,68.36
1393850525782,68.22,68.36
1393850530793,68.11,68.36
1393850535782,68.22,68.36
1393850540795,68.11,68.36
1393850545793,68.11,68.36
1393850550792,68.11,68.36
1393850555785,68.22,68.36
1393850560792,68.11,68.36
1393850565796,68.11,68.36
1393850570795,68.11,68.54
1393850575783,68.22,68.36
1393850580804,68.11,68.36
1393850585803,68.22,68.36
1393850590803,68.22,68.36
1393850595807,68.22,68.36
1393850600804,68.11,68.54
1393850605805,68.22,68.36
1393850610814,68.22,68.54
1393850615812,68.22,68.54
1393850620818,68.11,68.36
1393850625813,68.22,68.54
1393850630814,68.22,68.54
1393850635826,68.22,68.54
1393850640812,68.22,68.54
1393850645825,68.22,68.54
1393850650825,68.22,68.54
1393850655825,68.11,68.54
1393850660825,68.22,68.54
1393850665823,68.22,68.54
1393850670832,68.22,68.54
1393850675822,68.22,68.54
1393850680852,68.22,68.54
1393850685833,68.22,68.54
1393850690836,68.22,68.54
1393850695825,68.22,68.54
1393850700836,68.22,68.54
1393850705836,68.22,68.54
1393850710832,68.22,68.54
1393850715846,68.22,68.54
1393850720824,68.22,68.54
1393850725845,68.22,68.54
1393850730843,68.22,68.54
1393850735845,68.22,68.54
1393850740843,68.22,68.54
1393850745845,68.22,68.54
1393850750852,68.22,68.54
1393850755855,68.22,68.54
1393850760852,68.22,68.54
1393850765875,68.22,68.54
1393850770855,68.22,68.54
1393850775853,68.22,68.54
1393850780855,68.22,68.54
1393850785863,68.22,68.54
1393850790897,68.22,68.54
1393850795863,68.22,68.54
1393850800916,68.22,68.54
1393850805895,68.22,68.54
1393850810863,68.22,68.54
1393850815878,68.22,68.54
1393850820872,68.22,68.54
1393850825872,68.22,68.54
1393850830876,68.34,68.54
1393850860885,68.22,68.54
1393850901901,68.22,68.54
1393850906557,68.22,68.54
1393850911563,68.22,68.54
1393850941585,68.22,68.54
1393850971576,68.34,68.54
1393851001603,68.34,68.54
1393851031632,68.22,68.54
1393851061643,68.34,68.54
1393851091663,68.34,68.54
1393851121739,68.34,68.54
1393851151705,68.34,68.54
1393851181725,68.34,68.54
1393851211736,68.34,68.54
1393851241766,68.34,68.54
1393851271795,68.34,68.54
1393851301825,68.34,68.54
1393851331823,68.45,68.54
1393851361853,68.45,68.54
1393851391890,68.45,68.54
1393851421905,68.45,68.54
1393852577506,68.79,68.54
1393852582176,68.79,68.54
1393852587143,68.90,69.08
1393852592148,68.79,69.08
1393852597152,68.79,69.08
1393852602173,68.79,69.08
1393852607175,68.79,69.08
1393852612155,68.79,69.08
1393852617163,68.90,69.08
1393852622180,68.90,69.08
1393852627183,68.90,69.08
1393852632186,68.90,NaN
1393852637166,68.90,69.08
1393852642163,68.90,69.08
1393852647163,68.90,69.08
1393852652172,68.90,69.08
1393852657176,68.90,69.08
1393852662175,68.90,69.08
1393852667173,68.90,69.08
1393852672175,68.90,69.08
1393852677206,68.90,69.08
1393852682172,68.79,69.08
1393852687183,68.90,69.08
1393852692172,68.90,69.08
1393852697186,68.90,69.08
1393852702183,68.90,69.08
1393852707203,68.90,69.08
1393852712186,68.90,69.08
1393852717183,68.90,69.08
1393852722192,68.90,69.08
1393852727205,68.90,69.08
1393852732196,68.90,69.08
1393852737193,68.90,69.08
1393852742196,68.90,69.26
1393852817217,68.90,69.08
1393852821908,68.90,69.08
1393852826903,68.90,69.08
1393852831932,68.90,69.08
1393852836912,68.90,69.08
1393852841912,68.90,69.08
1393852846922,68.90,69.08
1393852980735,69.01,69.26
1393853010726,69.01,69.26
1393853040776,69.01,69.08
1393853070766,69.01,69.08
1393853100793,69.01,69.26
1393853130803,69.01,69.08
1393853160833,69.01,69.26
