Date, HumidityOut, HumidityIn
1389929213694,39.8,38.1
1389930113804,42.8,37.6
1389931913994,47.8,36.7
1389932814093,48.2,37.2
1389933714144,46.9,37.8
1389934614246,45.4,38.0
1389935514343,41.9,38.7
1389936414444,48.4,38.7
1389937314524,49.1,39.2
1389938214635,46.1,39.5
1389939114735,41.7,39.6
1389940014835,50.2,40.0
1389940914894,53.1,39.9
1389941814996,55,40.2
1389942775095,55.9,40.3
1389942835164,56,40.3
1389942895215,55.7,40.3
1389942955284,56,40.2
1389943015334,56.3,40.1
1389943137930,56.6,40.3
1389943437925,56.4,40.4
1389943737993,57,40.3
1389944638093,57.6,40.3
1389945538132,56.9,40.4
1389946438212,58.8,40.3
1389948238393,62.3,40.6
1389949138493,62.4,40.6
1389950038526,61.7,41.0
1389950938594,61.8,41.0
1389951838614,61.3,41.0
1389952738705,63.8,41.3
1389953638804,62.3,41.5
1389954538905,62.9,41.6
1389955439004,62.4,41.6
1389956339104,62.6,41.9
1389957239204,59.5,42.2
1389958139254,59.8,42.3
1389959039354,60.7,42.5
1389959939444,61.2,42.9
1389960839514,58,42.9
1389961739614,58.1,43.2
1389962639649,61.4,43.3
1389963539664,62.4,43.4
1389964439766,62.3,43.6
1389966239951,64.4,43.7
1389967140035,63.7,43.8
1389968040054,66.4,44.0
1389968940151,64.3,44.3
1389969840134,64,44.3
1389970740234,65.6,44.7
1389971640294,63.1,44.7
1389972540394,65.8,44.8
1389973440494,63.8,45.1
1389974340594,64.5,45.4
1389975240604,34,45.9
1389976140705,26.6,46.5
1389977040805,27.5,47.5
1389977940874,28.2,48.6
1389978840984,28.3,49.6
1389979741034,43.1,51.1
1389980641136,36.1,51.9
1389981541234,28.9,52.4
1389982441264,20.5,52.6
1389983341365,22.8,51.7
1389984241464,20.8,52.1
1389985141573,18.8,38.6
1389986041655,19.8,23.5
1389986941744,20.6,21.7
1389988741946,21.9,19.7
1389989642044,22,19.3
1389990542114,19.5,18.2
1389991442215,19.1,18.8
1389992342314,20.4,18.7
1389993242414,20.6,18.6
1389994142515,19.6,18.0
1389995042628,18.8,18.2
1389995942694,18.9,18.6
1389996842764,18.7,17.9
1389997742864,18.2,18.0
1389998642965,18.1,17.2
1389999543064,18.2,18.9
1390000443156,19.6,19.8
1390001343255,23.3,19.7
1390002243294,19.8,19.0
1390003143395,21.3,18.8
1390004043514,22.6,22.5
1390004943524,29.4,23.1
1390005843625,28.2,24.0
1390006743724,31.8,25.9
1390007643785,34.3,28.7
1390008543895,38.1,30.3
1390009443966,41,30.5
1390010344014,42.2,29.9
1390011244075,44.2,31.3
1390012144176,45,31.7
1390013044245,46.9,31.7
1390013944325,48.1,32.0
1390014844414,48.8,32.7
1390015744514,49.5,33.3
1390016644605,52.3,34.3
1390017544714,53.5,34.6
1390018444815,55.5,35.3
1390019344933,54.5,36.1
1390020245015,56.2,36.5
1390021145115,56.2,36.7
1390022045156,57.1,37.1
1390022945255,58.4,37.4
1390023845325,56.1,37.6
1390024745425,57.1,38.2
1390025645525,56.6,38.5
1390026545624,55.1,38.7
1390027445714,59.6,39.4
1390028345784,60.1,39.5
1390029245875,59.7,39.8
1390030145896,60.5,40.2
1390031045995,58.9,40.5
1390031946094,58.5,40.8
1390032846165,58.1,41.0
1390033746265,56.2,41.5
1390034646366,55.5,41.6
1390036446565,54.8,42.3
1390037346665,57.4,42.6
1390038246745,56.2,42.9
1390039146825,56.2,43.2
1390040046925,52.2,43.4
1390040947025,52.5,43.6
1390041847117,54.1,44.0
1390042747125,56.5,43.9
1390043647135,53.1,44.6
1390044547184,56.3,44.7
1390045447245,57.5,44.9
1390046347255,56.3,45.3
1390047247305,56.2,45.3
1390048147346,57.2,45.6
1390049047435,58,45.7
1390049947535,54.8,45.8
1390050847635,57.7,46.1
1390051747735,60.5,46.2
1390052647845,62.1,46.4
1390053547935,63.1,46.5
1390054448045,62.4,46.4
1390055348045,64.8,46.6
1390056248145,62,46.9
1390057148246,66.2,46.8
1390058048335,64.7,46.9
1390058948377,61.5,47.3
1390059848476,65.8,47.4
1390060748575,61.6,47.6
1390061648676,32.9,48.4
1390062548746,28.2,49.1
1390063448846,24.8,49.8
1390064348946,24.7,50.0
1390065249047,25.6,50.8
1390066149126,39,51.1
1390067049195,29,50.9
1390067949296,26.2,50.9
1390068849396,27,50.1
1390069749497,23,49.9
1390070649585,21,49.9
1390071549696,24.4,49.7
1390072449756,24.2,49.2
1390073349855,25.5,49.0
1390074249966,25.5,49.5
1390075150042,23.8,49.3
1390076050116,22.1,48.7
1390076950216,21.4,48.0
1390077850316,20.7,47.7
1390078750341,21.4,46.9
1390079650426,20.4,46.1
1390080550544,20.7,45.3
1390081450616,20.6,44.4
1390082350716,25.4,44.0
1390083250817,25,43.5
1390084150866,23.8,43.2
1390085050906,21.6,42.6
1390085950996,21.4,42.1
1390086851100,22.8,41.9
1390087751196,24,41.9
1390088651296,27.5,41.9
1390089551406,29.2,42.0
1390090451496,32.1,42.1
1390091351596,33.8,42.3
1390091974670,33.5,42.5
1390092874655,33.3,42.8
1390093774763,36.1,42.3
1390094674803,43.7,41.6
1390095574902,51.6,33.4
1390096475002,48.8,34.2
1390097375105,53.5,35.1
